axis,axis_value,K,N,dt,burn_time,sample_time,seed,mean_r,sd_r,samples
dt,0.040000000000000001,0.59999999999999998,512,0.040000000000000001,240,160,1729,0.077769697223218803,0.038420215466325576,800
dt,0.040000000000000001,0.59999999999999998,512,0.040000000000000001,240,160,2718,0.10513064433385236,0.044389713934452395,800
dt,0.040000000000000001,0.59999999999999998,512,0.040000000000000001,240,160,31415,0.10561440186977596,0.055759183344345507,800
dt,0.02,0.59999999999999998,512,0.02,240,160,1729,0.11824247829748778,0.044541356953740334,1600
dt,0.02,0.59999999999999998,512,0.02,240,160,2718,0.097887497290871886,0.052724872584849196,1600
dt,0.02,0.59999999999999998,512,0.02,240,160,31415,0.10103409841064911,0.051551669733580649,1600
dt,0.01,0.59999999999999998,512,0.01,240,160,1729,0.079854166572904561,0.040241394422710124,3200
dt,0.01,0.59999999999999998,512,0.01,240,160,2718,0.073828932219413682,0.036642954408687166,3200
dt,0.01,0.59999999999999998,512,0.01,240,160,31415,0.081174923678764638,0.041927920463615653,3200
dt,0.0050000000000000001,0.59999999999999998,512,0.0050000000000000001,240,160,1729,0.098874195092147621,0.04827151947700252,6400
dt,0.0050000000000000001,0.59999999999999998,512,0.0050000000000000001,240,160,2718,0.086864110877789391,0.04986194650935178,6400
dt,0.0050000000000000001,0.59999999999999998,512,0.0050000000000000001,240,160,31415,0.10509979592102806,0.055169893184942177,6400
N,256,0.59999999999999998,256,0.01,240,160,1729,0.10450399633147506,0.054220286959031937,3200
N,256,0.59999999999999998,256,0.01,240,160,2718,0.10849797248879689,0.059579374342079085,3200
N,256,0.59999999999999998,256,0.01,240,160,31415,0.10220125258449972,0.041654562660462351,3200
N,512,0.59999999999999998,512,0.01,240,160,1729,0.079854166572904561,0.040241394422710124,3200
N,512,0.59999999999999998,512,0.01,240,160,2718,0.073828932219413682,0.036642954408687166,3200
N,512,0.59999999999999998,512,0.01,240,160,31415,0.081174923678764638,0.041927920463615653,3200
N,1024,0.59999999999999998,1024,0.01,240,160,1729,0.056847729495428462,0.032192710508448991,3200
N,1024,0.59999999999999998,1024,0.01,240,160,2718,0.056549443299358619,0.029720141450587045,3200
N,1024,0.59999999999999998,1024,0.01,240,160,31415,0.065150615078492971,0.027730033938542835,3200
dt,0.040000000000000001,0.80000000000000004,512,0.040000000000000001,240,160,1729,0.26772319953526114,0.086505575854414374,800
dt,0.040000000000000001,0.80000000000000004,512,0.040000000000000001,240,160,2718,0.31525255697030802,0.061738041217724304,800
dt,0.040000000000000001,0.80000000000000004,512,0.040000000000000001,240,160,31415,0.32656935475918464,0.039517807714206765,800
dt,0.02,0.80000000000000004,512,0.02,240,160,1729,0.34428154274009776,0.05368957365474232,1600
dt,0.02,0.80000000000000004,512,0.02,240,160,2718,0.31093470543073726,0.074648619573129862,1600
dt,0.02,0.80000000000000004,512,0.02,240,160,31415,0.32072619470444891,0.071969464682521245,1600
dt,0.01,0.80000000000000004,512,0.01,240,160,1729,0.26132292611454205,0.084760772280722665,3200
dt,0.01,0.80000000000000004,512,0.01,240,160,2718,0.31987936142918211,0.048504348055836054,3200
dt,0.01,0.80000000000000004,512,0.01,240,160,31415,0.28933337158014427,0.074987303442131878,3200
dt,0.0050000000000000001,0.80000000000000004,512,0.0050000000000000001,240,160,1729,0.26685205088740838,0.096226910630313245,6400
dt,0.0050000000000000001,0.80000000000000004,512,0.0050000000000000001,240,160,2718,0.28914839693389488,0.080578204681865731,6400
dt,0.0050000000000000001,0.80000000000000004,512,0.0050000000000000001,240,160,31415,0.31271134930914424,0.053348584461895436,6400
N,256,0.80000000000000004,256,0.01,240,160,1729,0.28850021500681833,0.074542300912783174,3200
N,256,0.80000000000000004,256,0.01,240,160,2718,0.33999886662969553,0.070082668221312663,3200
